Bore ID,Postcode,Suburb,Area,Latitude,Longitude,Temperature (C),EC (uS/cm),WaterQuantity(mAHD)
46957,3608,BAILIESTON,GOULBURN-MURRAY,-36.73861837,145.1074473,19.95 ,674.00 ,127.95 
46962,3608,BAILIESTON,GOULBURN-MURRAY,-36.69977112,145.0515432,16.86 ,577.00 ,143.51 
46968,3875,BAIRNSDALE,SOUTHERN RURAL,-37.9233883,147.6185197,17.48 ,3006.33 ,34.79 
47063,3875,BAIRNSDALE,SOUTHERN RURAL,-37.90334187,147.6252565,23.67 ,4523.00 ,33.32 
47192,3356,BONSHAW,SOUTHERN RURAL,-37.59118402,143.838746,17.52 ,542.00 ,422.37 
47247,3622,CORNELIA CREEK,GOULBURN-MURRAY,-36.25630421,144.7114417,18.40 ,nan,104.80 
47248,3622,CORNELIA CREEK,GOULBURN-MURRAY,-36.25629468,144.711491,18.90 ,nan,104.45 
47249,3622,CORNELIA CREEK,GOULBURN-MURRAY,-36.25630092,144.7113461,16.25 ,254.00 ,104.70 
47250,3622,CORNELIA CREEK,GOULBURN-MURRAY,-36.25589819,144.6697386,18.90 ,1601.00 ,105.01 
47251,3622,CORNELIA CREEK,GOULBURN-MURRAY,-36.2558959,144.6698478,18.37 ,3808.00 ,105.07 
47253,3561,BALLENDELLA,GOULBURN-MURRAY,-36.25634579,144.6358693,19.00 ,nan,105.42 
47254,3561,BALLENDELLA,GOULBURN-MURRAY,-36.25634578,144.6358625,19.00 ,nan,105.43 
47255,3622,CORNELIA CREEK,GOULBURN-MURRAY,-36.25595103,144.669723,20.90 ,nan,105.57 
47494,3418,BROUGHTON,BALROOTAN,-36.33470582,141.6736065,15.76 ,646.00 ,130.72 
47496,3418,BROUGHTON,BALROOTAN,-36.33715635,141.6578426,19.87 ,404.00 ,154.18 
47498,3418,BROUGHTON,WEST WIMMERA (GMU),-36.33536693,141.65723,18.59 ,432.00 ,129.07 
47503,3418,BROUGHTON,GRAMPIANS WIMMERA MALLEE,-36.32925047,141.6589938,16.60 ,119.00 ,135.71 
47902,3418,BROUGHTON,SHEPPARTON IRRIGATION (GMU),-35.92268105,145.0028359,14.90 ,232.00 ,98.10 
48195,3393,AILSA,KATUNGA (GMU),-36.02545481,145.2314041,13.04 ,346.00 ,103.23 
48197,3638,KOTUPNA,KATUNGA (GMU),-36.06125225,145.2319938,16.86 ,250.00 ,0.00 
48198,3393,AILSA,GOULBURN-MURRAY,-36.02545701,145.2313928,17.28 ,478.00 ,102.43 
48199,3638,KOTUPNA,GOULBURN-MURRAY,-36.06034574,145.2309527,16.88 ,2729.00 ,102.37 
48200,3638,KOTUPNA,GOULBURN-MURRAY,-36.06037635,145.2309272,18.23 ,6426.00 ,102.94 
48281,3649,KATAMATITE,GOULBURN-MURRAY,-36.07461317,145.4316408,19.66 ,2754.67 ,107.41 
48282,3393,AILSA,GOULBURN-MURRAY,-36.03155982,145.4315388,12.64 ,628.00 ,108.36 
48284,3393,AILSA,GOULBURN-MURRAY,-36.03210671,145.4315028,15.22 ,168.00 ,107.75 
48285,3393,AILSA,GOULBURN-MURRAY,-36.03212271,145.4315416,17.78 ,206.00 ,107.85 
48286,3393,AILSA,GOULBURN-MURRAY,-36.03204507,145.431514,18.35 ,641.00 ,107.78 
48288,3649,KATAMATITE,GOULBURN-MURRAY,-36.07463715,145.431649,20.65 ,2732.67 ,106.92 
48289,3393,AILSA,GOULBURN-MURRAY,-36.03153173,145.4315453,12.62 ,206.00 ,108.55 
48290,3638,KOTUPNA,GOULBURN-MURRAY,-36.07399869,145.3363458,19.60 ,636.00 ,105.13 
48291,3638,KOTUPNA,GOULBURN-MURRAY,-36.07396528,145.3364844,16.45 ,17740.00 ,104.46 
48292,3393,AILSA,GOULBURN-MURRAY,-36.03153395,145.4315348,13.57 ,698.00 ,107.84 
48554,3701,DARTMOUTH,GRAMPIANS WIMMERA MALLEE,-36.62666873,141.2971694,18.14 ,3081.05 ,140.22 
48559,3701,DARTMOUTH,GRAMPIANS WIMMERA MALLEE,-36.62673877,141.2974955,18.32 ,3423.63 ,140.92 
48560,3284,ORFORD,PORTLAND (GMU),-38.38477639,142.2112734,14.95 ,459.00 ,6.08 
48567,3864,FERNBANK,SOUTHERN RURAL,-38.36168788,142.1473473,15.41 ,240.00 ,18.29 
48935,3485,BANYAN,GOULBURN-MURRAY,-36.52828678,145.9769886,18.16 ,694.00 ,167.31 
48936,3485,BANYAN,BENALLA,-36.52827236,145.9769572,17.83 ,623.00 ,166.87 
49426,3699,BOGONG,GRAMPIANS WIMMERA MALLEE,-36.89310563,141.0376654,17.85 ,4166.76 ,111.38 
49557,3740,BUCKLAND,GOULBURN-MURRAY,-35.53250031,143.7571382,20.17 ,79233.33 ,74.01 
49558,3740,BUCKLAND,GOULBURN-MURRAY,-35.53249327,143.757166,18.67 ,78000.00 ,74.04 
49563,3579,APPIN,GOULBURN-MURRAY,-35.46112656,143.8118256,18.00 ,17900.00 ,71.80 
49564,3579,APPIN,GOULBURN-MURRAY,-35.46084907,143.8114467,18.00 ,9300.00 ,71.68 
49565,3579,APPIN,GOULBURN-MURRAY,-35.46081566,143.811434,18.00 ,7100.00 ,71.62 
49566,3585,CASTLE DONNINGTON,GOULBURN-MURRAY,-35.50021626,143.7604438,20.23 ,62925.00 ,79.78 
49567,3585,CASTLE DONNINGTON,GOULBURN-MURRAY,-35.50022295,143.7604512,20.25 ,69725.00 ,79.74 
49568,3740,BUCKLAND,GOULBURN-MURRAY,-35.54660455,143.7613269,20.33 ,75666.67 ,75.43 
49569,3740,BUCKLAND,GOULBURN-MURRAY,-35.54660264,143.761347,18.83 ,35366.67 ,75.44 
49570,3585,CASTLE DONNINGTON,GOULBURN-MURRAY,-35.47092914,143.7497754,18.00 ,34000.00 ,72.18 
49571,3740,BUCKLAND,GOULBURN-MURRAY,-35.54661542,143.7613637,20.83 ,62300.00 ,75.12 
49573,3741,BRIGHT,GOULBURN-MURRAY,-35.55040651,143.8120962,15.93 ,456.00 ,73.48 
49676,3461,BULLARTO,GRAMPIANS WIMMERA MALLEE,-34.9195104,141.0297475,45.96 ,7602.31 ,58.39 
49677,3461,BULLARTO,MURRAYVILLE (GMU),-34.91940739,141.0303474,21.76 ,5005.57 ,57.00 
49678,3461,BULLARTO,UNINCORPORATED (GMU),-34.91508522,141.0358486,13.95 ,391.00 ,51.30 
